ticker,name,asset_type,dividends,currency,isin,source,source_file_path,active,start_date,end_date,notes
HLMA.L,HALMA PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ITV.L,ITV PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PAY.L,PAYPOINT PLC ORD 1/3P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TPT.L,TOPPS TILES PLC ORD 3 1/3P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SSIT.L,SERAPHIM SPACE INVESTMENT TRUST PLC ORD GBP0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ITH.L,ITHACA ENERGY PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PINT.L,PANTHEON INFRASTRUCTURE PLC ORD GBP0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SMWH.L,WH SMITH PLC ORD 22 6/67P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CMCX.L,CMC MARKETS PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BT-A.L,BT GROUP PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ENQ.L,ENQUEST PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TSCO.L,TESCO PLC ORD 6 1/3P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GPE.L,GREAT PORTLAND ESTATES PLC ORD 15 5/19P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BRBY.L,BURBERRY GROUP PLC ORD 0.05P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CRST.L,CREST NICHOLSON HOLDINGS PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
FGP.L,FIRSTGROUP PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
EDV.L,ENDEAVOUR MINING PLC ORD USD0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HIK.L,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MTO.L,MITIE GROUP PLC ORD 2.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BCG.L,BALTIC CLASSIFIEDS GROUP PLC ORD GBP0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GSK.L,GSK PLC ORD 31 1/4P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SREI.L,SCHRODER REAL ESTATE INV. TST. LD ORD SHS NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
KIE.L,KIER GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BYG.L,BIG YELLOW GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
IGG.L,IG GROUP HOLDINGS PLC ORD 0.005P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
KLR.L,KELLER GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MCT.L,MIDDLEFIELD CANADIAN INC PCC RED PART PREF SHS NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
VOD.L,VODAFONE GROUP PLC ORD USD0.20 20/21,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
KGF.L,KINGFISHER PLC ORD 15 5/7P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
OXB.L,OXFORD BIOMEDICA PLC ORD 50P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BBY.L,BALFOUR BEATTY PLC ORD 50P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MKS.L,MARKS & SPENCER GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
