date,price
31/07/2025,36.71
30/07/2025,37.74
29/07/2025,38.10
28/07/2025,38.04
25/07/2025,38.37
24/07/2025,39.22
23/07/2025,39.50
22/07/2025,39.56
21/07/2025,39.33
18/07/2025,38.46
17/07/2025,38.30
16/07/2025,38.12
15/07/2025,38.11
14/07/2025,38.74
11/07/2025,38.96
10/07/2025,37.31
09/07/2025,36.63
08/07/2025,36.75
07/07/2025,36.90
04/07/2025,37.14
03/07/2025,37.08
02/07/2025,36.73
01/07/2025,36.40
30/06/2025,36.17
27/06/2025,36.37
26/06/2025,36.76
25/06/2025,36.09
24/06/2025,35.7
23/06/2025,36.15
20/06/2025,36.02
19/06/2025,36.37
18/06/2025,36.91
17/06/2025,37.15
16/06/2025,36.45
13/06/2025,36.36
12/06/2025,36.3
11/06/2025,36.26
10/06/2025,36.64
09/06/2025,36.8
08/06/2025,36.2
06/06/2025,36.14
05/06/2025,35.81
04/06/2025,34.65
03/06/2025,34.63
02/06/2025,34.69
30/05/2025,33.03
29/05/2025,33.42
28/05/2025,33.16
27/05/2025,33.31
26/05/2025,33.58
25/05/2025,33.6
23/05/2025,33.61
22/05/2025,33.22
21/05/2025,33.65
20/05/2025,33.17
19/05/2025,32.51
16/05/2025,32.35
15/05/2025,32.68
14/05/2025,32.44
13/05/2025,33.1
12/05/2025,32.62
09/05/2025,32.91
08/05/2025,32.62
07/05/2025,32.79
06/05/2025,33.38
05/05/2025,32.47
02/05/2025,32.26
01/05/2025,32.47
30/04/2025,32.83
29/04/2025,33.58
28/04/2025,33.17
25/04/2025,33.01
24/04/2025,33.5
23/04/2025,33.55
22/04/2025,32.91
21/04/2025,32.52
17/04/2025,32.47
16/04/2025,32.98
15/04/2025,32.3
14/04/2025,32.17
11/04/2025,31.91
10/04/2025,30.76
09/04/2025,30.42
08/04/2025,29.69
07/04/2025,29.6
04/04/2025,29.23
03/04/2025,31.97
02/04/2025,34.65
01/04/2025,34.31
31/03/2025,34.61
28/03/2025,34.81
27/03/2025,34.91
26/03/2025,34.05
25/03/2025,34.02
24/03/2025,33.45
21/03/2025,33.49
20/03/2025,33.99
19/03/2025,34.21
18/03/2025,34.82
17/03/2025,34.31
14/03/2025,34.43
13/03/2025,34.31
12/03/2025,33.74
11/03/2025,33.15
10/03/2025,32.53
07/03/2025,32.81
06/03/2025,33.34
05/03/2025,33.13
04/03/2025,32.38
03/03/2025,32.31
28/02/2025,31.5
27/02/2025,32.11
26/02/2025,32.42
25/02/2025,31.98
24/02/2025,32.76
21/02/2025,33.01
20/02/2025,33.49
19/02/2025,33.04
18/02/2025,33.37
14/02/2025,32.86
13/02/2025,32.73
12/02/2025,32.79
11/02/2025,32.32
10/02/2025,32.49
07/02/2025,32.44
06/02/2025,32.63
05/02/2025,32.98
04/02/2025,33.02
03/02/2025,32.53
31/01/2025,32.27
30/01/2025,32.49
29/01/2025,31.26
28/01/2025,30.76
27/01/2025,30.28
24/01/2025,31.06
23/01/2025,30.71
22/01/2025,31.42
21/01/2025,31.5
17/01/2025,31.14
16/01/2025,31.73
15/01/2025,31.53
14/01/2025,30.35
13/01/2025,30.31
10/01/2025,31.31
09/01/2025,31.02
08/01/2025,30.69
07/01/2025,30.69
06/01/2025,30.58
03/01/2025,30.07
02/01/2025,29.9
31/12/2024,29.24
30/12/2024,29.41
27/12/2024,29.82
26/12/2024,30.23
24/12/2024,30.15
23/12/2024,30.06
20/12/2024,29.84
19/12/2024,29.28
18/12/2024,30.61
