date,price
31/07/2025,3348.6
30/07/2025,3352.8
29/07/2025,3368.3
28/07/2025,3354.0
25/07/2025,3392.5
24/07/2025,3431.1
23/07/2025,3455.1
22/07/2025,3501.8
21/07/2025,3462.9
18/07/2025,3358.3
17/07/2025,3345.3
16/07/2025,3359.1
15/07/2025,3336.7
14/07/2025,3359.1
11/07/2025,3364.0
10/07/2025,3325.7
09/07/2025,3321.0
08/07/2025,3316.9
07/07/2025,3342.8
04/07/2025,3346.5
03/07/2025,3342.9
02/07/2025,3359.7
01/07/2025,3349.8
30/06/2025,3307.7
27/06/2025,3287.6
26/06/2025,3333.9
25/06/2025,3329
24/06/2025,3320
23/06/2025,3380.6
20/06/2025,3385.7
19/06/2025,3385
18/06/2025,3408.1
17/06/2025,3406.9
16/06/2025,3417.3
13/06/2025,3452.8
12/06/2025,3402.4
11/06/2025,3343.7
10/06/2025,3343.4
09/06/2025,3354.9
08/06/2025,3338.5
06/06/2025,3346.6
05/06/2025,3375.1
04/06/2025,3399.2
03/06/2025,3377.1
02/06/2025,3397.2
30/05/2025,3315.4
29/05/2025,3343.9
28/05/2025,3308.3
27/05/2025,3313.7
26/05/2025,3374.5
25/05/2025,3370.3
23/05/2025,3394.5
22/05/2025,3323.6
21/05/2025,3341.9
20/05/2025,3312.6
19/05/2025,3261.4
16/05/2025,3187.2
15/05/2025,3226.6
14/05/2025,3188.3
13/05/2025,3247.8
12/05/2025,3228
09/05/2025,3344
08/05/2025,3306
07/05/2025,3391.9
06/05/2025,3422.8
05/05/2025,3322.3
02/05/2025,3243.3
01/05/2025,3222.2
30/04/2025,3319.1
29/04/2025,3333.6
28/04/2025,3333
25/04/2025,3298.4
24/04/2025,3348.6
23/04/2025,3294.1
22/04/2025,3419.4
21/04/2025,3425.3
17/04/2025,3328.4
16/04/2025,3346.4
15/04/2025,3240.4
14/04/2025,3226.3
11/04/2025,3244.6
10/04/2025,3177.5
09/04/2025,3079.4
08/04/2025,2990.2
07/04/2025,2973.6
04/04/2025,3035.4
03/04/2025,3121.7
02/04/2025,3166.2
01/04/2025,3146
31/03/2025,3150.3
28/03/2025,3114.3
27/03/2025,3075.8
26/03/2025,3037.3
25/03/2025,3039.6
24/03/2025,3044
21/03/2025,3048.4
20/03/2025,3071.3
19/03/2025,3069.1
18/03/2025,3068.9
17/03/2025,3034.1
14/03/2025,3001.1
13/03/2025,2991.3
12/03/2025,2946.8
11/03/2025,2920.9
10/03/2025,2899.4
07/03/2025,2914.1
06/03/2025,2926.6
05/03/2025,2926
04/03/2025,2920.6
03/03/2025,2901.1
28/02/2025,2848.5
27/02/2025,2895.9
26/02/2025,2917.8
25/02/2025,2906
24/02/2025,2949.7
21/02/2025,2953.2
20/02/2025,2956.1
19/02/2025,2936.1
18/02/2025,2949
14/02/2025,2900.7
13/02/2025,2945.4
12/02/2025,2928.7
11/02/2025,2932.6
10/02/2025,2934.4
07/02/2025,2887.6
06/02/2025,2876.7
05/02/2025,2893
04/02/2025,2875.8
03/02/2025,2857.1
31/01/2025,2835
30/01/2025,2845.2
29/01/2025,2781.5
28/01/2025,2781
27/01/2025,2752.4
24/01/2025,2792.7
23/01/2025,2778.3
22/01/2025,2797.4
21/01/2025,2785.6
17/01/2025,2748.7
16/01/2025,2750.9
15/01/2025,2717.8
14/01/2025,2682.3
13/01/2025,2678.6
10/01/2025,2715
09/01/2025,2690.8
08/01/2025,2672.4
07/01/2025,2665.4
06/01/2025,2647.4
03/01/2025,2654.7
02/01/2025,2669
31/12/2024,2641
30/12/2024,2618.1
27/12/2024,2618.4
26/12/2024,2640.3
24/12/2024,2622.8
23/12/2024,2615.5
20/12/2024,2632.5
19/12/2024,2596
18/12/2024,2640.8
17/12/2024,2649.6
16/12/2024,2657
13/12/2024,2662.4
12/12/2024,2695.1
11/12/2024,2741.5
10/12/2024,2705.6
09/12/2024,2673.3
06/12/2024,2647.1
05/12/2024,2636.1
04/12/2024,2664.3
03/12/2024,2655.9
02/12/2024,2646.5
29/11/2024,2669
27/11/2024,2652.3
26/11/2024,2621.3
25/11/2024,2618.5
22/11/2024,2712.2
21/11/2024,2674.9
20/11/2024,2651.7
19/11/2024,2631
18/11/2024,2614.6
15/11/2024,2570.1
14/11/2024,2572.9
13/11/2024,2586.5
12/11/2024,2606.3
11/11/2024,2617.7
08/11/2024,2694.8
07/11/2024,2705.8
06/11/2024,2676.3
05/11/2024,2749.7
04/11/2024,2746.2
01/11/2024,2749.2
31/10/2024,2749.3
30/10/2024,2800.8
29/10/2024,2768.8
28/10/2024,2743.6
25/10/2024,2742.2
24/10/2024,2736.5
23/10/2024,2717.1
22/10/2024,2747.4
21/10/2024,2726.8
18/10/2024,2718
17/10/2024,2695.5
16/10/2024,2679.3
15/10/2024,2667
14/10/2024,2653.7
11/10/2024,2664.4
10/10/2024,2627.4
09/10/2024,2614.1
08/10/2024,2623.5
07/10/2024,2654
04/10/2024,2656
03/10/2024,2667.4
02/10/2024,2658.1
01/10/2024,2678.5
30/09/2024,2647.9
27/09/2024,2656.5
26/09/2024,2670.4
25/09/2024,2660.7
24/09/2024,2653
23/09/2024,2628.6
20/09/2024,2622.4
19/09/2024,2590.9
18/09/2024,2574.9
17/09/2024,2568.9
16/09/2024,2585.2
13/09/2024,2586.8
12/09/2024,2557.1
11/09/2024,2519
10/09/2024,2519.5
09/09/2024,2509.3
06/09/2024,2501.5
05/09/2024,2519.7
04/09/2024,2502.7
03/09/2024,2499.7
30/08/2024,2504.5
29/08/2024,2536.7
28/08/2024,2502.6
27/08/2024,2517.7
26/08/2024,2520.2
23/08/2024,2511.2
22/08/2024,2482.1
21/08/2024,2512.8
20/08/2024,2516.1
19/08/2024,2506.8
16/08/2024,2503.6
15/08/2024,2458.6
14/08/2024,2446.2
13/08/2024,2473.9
12/08/2024,2469.9
09/08/2024,2439.8
08/08/2024,2430.3
07/08/2024,2400
06/08/2024,2398.9
05/08/2024,2411.8
02/08/2024,2436.2
01/08/2024,2445.9
31/07/2024,2438.5
30/07/2024,2417.6
29/07/2024,2377.8
26/07/2024,2381
25/07/2024,2353.5
24/07/2024,2415.7
23/07/2024,2407.3
22/07/2024,2394.7
19/07/2024,2399.1
18/07/2024,2456.4
17/07/2024,2459.9
16/07/2024,2467.8
15/07/2024,2428.9
12/07/2024,2420.7
11/07/2024,2421.9
10/07/2024,2379.7
09/07/2024,2367.9
08/07/2024,2363.5
05/07/2024,2397.7
04/07/2024,2364.6
03/07/2024,2369.4
