ticker,name,asset_type,has_dividends,has_stock_splits,currency,isin,source,source_file_path,active,start_date,end_date,notes
0P00009WXM.L,Vanguard U.K. Investment Grade Bond Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000FXJW.L,Vanguard U.K. Investment Grade Bond Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM1W.L,Vanguard Japan Stock Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM1Y.L,Vanguard Japan Stock Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM1Z.L,Vanguard Pacific ex-Japan Stock Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM20.L,Vanguard Pacific ex-Japan Stock Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM21.L,Vanguard Emerging Markets Stock Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM22.L,Vanguard Emerging Markets Stock Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM23.L,Vanguard Global Bond Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM24.L,Vanguard Global Bond Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM25.L,Vanguard U.K. Government Bond Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KM26.L,Vanguard U.K. Government Bond Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KSP4.L,Vanguard FTSE U.K. Equity Income Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KSP5.L,Vanguard FTSE U.K. Equity Income Index Fund Dist,mutual fund,Y,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
0P0000KSP6.L,Vanguard FTSE Developed World ex-U.K. Equity Index Fund Acc,mutual fund,N,N,GBP,,yfinance,-,Y,02/01/2014,27/06/2025,Vanguard mutual fund
